,Strategy,Buy and Hold
Total Return (%),-28.29551693729041,7.763981045377988
Annualized Return (%),-3.625146420961245,0.8335370636788575
Annualized Volatility (%),6.1270607461098985,22.20564843900011
Sharpe Ratio,-0.9180823651100046,-0.05253001007943845
Maximum Drawdown (%),-31.400987471834107,-55.70077249304993
